matchday,position,team,matches,wins,draws,losses,goals_scored,goals_conceded,goal_difference,points
7,15,FC Augsburg,7,2,1,4,10.0,18.0,-8.0,7
7,16,FC St. Pauli,7,1,1,5,5.0,11.0,-6.0,4
7,17,Holstein Kiel,7,0,2,5,9.0,21.0,-12.0,2
7,18,VfL Bochum,7,0,1,6,7.0,17.0,-10.0,1
8,1,FC Bayern München,8,6,2,0,29.0,7.0,22.0,20
8,2,RB Leipzig,8,6,2,0,14.0,3.0,11.0,20
8,3,Bayer Leverkusen,8,4,3,1,20.0,15.0,5.0,15
8,4,1. FC Union Berlin,8,4,3,1,9.0,5.0,4.0,15
8,5,SC Freiburg,8,5,0,3,13.0,11.0,2.0,15
8,6,Eintracht Frankfurt,8,4,2,2,16.0,12.0,4.0,14
8,7,Borussia Dortmund,8,4,1,3,15.0,14.0,1.0,13
8,8,VfB Stuttgart,8,3,3,2,17.0,16.0,1.0,12
8,9,Werder Bremen,8,3,3,2,14.0,16.0,-2.0,12
8,10,1. FC Heidenheim 1846,8,3,1,4,12.0,11.0,1.0,10
8,11,Borussia Mönchengladbach,8,3,1,4,11.0,13.0,-2.0,10
8,12,FC Augsburg,8,3,1,4,12.0,19.0,-7.0,10
8,13,1. FSV Mainz 05,8,2,3,3,12.0,13.0,-1.0,9
8,14,VfL Wolfsburg,8,2,2,4,15.0,16.0,-1.0,8
8,15,TSG 1899 Hoffenheim,8,2,2,4,13.0,17.0,-4.0,8
8,16,FC St. Pauli,8,1,2,5,5.0,11.0,-6.0,5
8,17,Holstein Kiel,8,0,2,6,10.0,23.0,-13.0,2
8,18,VfL Bochum,8,0,1,7,7.0,22.0,-15.0,1
9,1,FC Bayern München,9,7,2,0,32.0,7.0,25.0,23
9,2,RB Leipzig,9,6,2,1,15.0,5.0,10.0,20
9,3,Eintracht Frankfurt,9,5,2,2,23.0,14.0,9.0,17
9,4,Bayer Leverkusen,9,4,4,1,20.0,15.0,5.0,16
9,5,Borussia Dortmund,9,5,1,3,17.0,15.0,2.0,16
9,6,SC Freiburg,9,5,1,3,13.0,11.0,2.0,16
9,7,1. FC Union Berlin,9,4,3,2,9.0,8.0,1.0,15
9,8,VfB Stuttgart,9,3,4,2,17.0,16.0,1.0,13
9,9,Borussia Mönchengladbach,9,4,1,4,15.0,14.0,1.0,13
9,10,Werder Bremen,9,3,3,3,15.0,20.0,-5.0,12
9,11,FC Augsburg,9,3,2,4,13.0,20.0,-7.0,11
9,12,1. FC Heidenheim 1846,9,3,1,5,12.0,12.0,0.0,10
9,13,1. FSV Mainz 05,9,2,4,3,12.0,13.0,-1.0,10
9,14,VfL Wolfsburg,9,2,3,4,16.0,17.0,-1.0,9
9,15,FC St. Pauli,9,2,2,5,7.0,11.0,-4.0,8
9,16,TSG 1899 Hoffenheim,9,2,2,5,13.0,19.0,-6.0,8
9,17,Holstein Kiel,9,1,2,6,11.0,23.0,-12.0,5
9,18,VfL Bochum,9,0,1,8,9.0,29.0,-20.0,1
10,1,FC Bayern München,10,8,2,0,33.0,7.0,26.0,26
10,2,RB Leipzig,10,6,3,1,15.0,5.0,10.0,21
10,3,Eintracht Frankfurt,10,6,2,2,26.0,16.0,10.0,20
10,4,Bayer Leverkusen,10,4,5,1,21.0,16.0,5.0,17
10,5,SC Freiburg,10,5,2,3,13.0,11.0,2.0,17
10,6,1. FC Union Berlin,10,4,4,2,9.0,8.0,1.0,16
10,7,Borussia Dortmund,10,5,1,4,18.0,18.0,0.0,16
10,8,Werder Bremen,10,4,3,3,17.0,21.0,-4.0,15
10,9,Borussia Mönchengladbach,10,4,2,4,15.0,14.0,1.0,14
10,10,1. FSV Mainz 05,10,3,4,3,15.0,14.0,1.0,13
10,11,VfB Stuttgart,10,3,4,3,19.0,19.0,0.0,13
10,12,VfL Wolfsburg,10,3,3,4,19.0,18.0,1.0,12
10,13,FC Augsburg,10,3,3,4,13.0,20.0,-7.0,12
10,14,1. FC Heidenheim 1846,10,3,1,6,13.0,15.0,-2.0,10
10,15,TSG 1899 Hoffenheim,10,2,3,5,13.0,19.0,-6.0,9
10,16,FC St. Pauli,10,2,2,6,7.0,12.0,-5.0,8
10,17,Holstein Kiel,10,1,2,7,12.0,25.0,-13.0,5
10,18,VfL Bochum,10,0,2,8,10.0,30.0,-20.0,2
11,1,FC Bayern München,11,9,2,0,36.0,7.0,29.0,29
11,2,Eintracht Frankfurt,11,7,2,2,27.0,16.0,11.0,23
11,3,RB Leipzig,11,6,3,2,18.0,9.0,9.0,21
11,4,Bayer Leverkusen,11,5,5,1,26.0,18.0,8.0,20
11,5,Borussia Dortmund,11,6,1,4,22.0,18.0,4.0,19
11,6,Borussia Mönchengladbach,11,5,2,4,17.0,14.0,3.0,17
11,7,SC Freiburg,11,5,2,4,13.0,15.0,-2.0,17
11,8,1. FSV Mainz 05,11,4,4,3,18.0,14.0,4.0,16
11,9,VfB Stuttgart,11,4,4,3,21.0,19.0,2.0,16
11,10,1. FC Union Berlin,11,4,4,3,9.0,9.0,0.0,16
11,11,VfL Wolfsburg,11,4,3,4,20.0,18.0,2.0,15
11,12,Werder Bremen,11,4,3,4,17.0,22.0,-5.0,15
11,13,TSG 1899 Hoffenheim,11,3,3,5,17.0,22.0,-5.0,12
11,14,FC Augsburg,11,3,3,5,13.0,23.0,-10.0,12
11,15,1. FC Heidenheim 1846,11,3,1,7,15.0,20.0,-5.0,10
11,16,FC St. Pauli,11,2,2,7,7.0,14.0,-7.0,8
11,17,Holstein Kiel,11,1,2,8,12.0,28.0,-16.0,5
11,18,VfL Bochum,11,0,2,9,10.0,32.0,-22.0,2
12,1,FC Bayern München,12,9,3,0,37.0,8.0,29.0,30
12,2,Eintracht Frankfurt,12,8,2,2,31.0,16.0,15.0,26
12,3,Bayer Leverkusen,12,6,5,1,28.0,19.0,9.0,23
12,4,RB Leipzig,12,6,3,3,19.0,14.0,5.0,21
12,5,Borussia Dortmund,12,6,2,4,23.0,19.0,4.0,20
12,6,SC Freiburg,12,6,2,4,16.0,16.0,0.0,20
12,7,1. FSV Mainz 05,12,5,4,3,20.0,14.0,6.0,19
12,8,VfL Wolfsburg,12,5,3,4,25.0,19.0,6.0,18
12,9,VfB Stuttgart,12,4,5,3,23.0,21.0,2.0,17
12,10,Borussia Mönchengladbach,12,5,2,5,18.0,17.0,1.0,17
12,11,1. FC Union Berlin,12,4,4,4,10.0,11.0,-1.0,16
12,12,Werder Bremen,12,4,4,4,19.0,24.0,-5.0,16
12,13,FC Augsburg,12,4,3,5,14.0,23.0,-9.0,15
12,14,TSG 1899 Hoffenheim,12,3,3,6,17.0,24.0,-7.0,12
12,15,FC St. Pauli,12,3,2,7,10.0,15.0,-5.0,11
12,16,1. FC Heidenheim 1846,12,3,1,8,15.0,24.0,-9.0,10
12,17,Holstein Kiel,12,1,2,9,13.0,31.0,-18.0,5
12,18,VfL Bochum,12,0,2,10,10.0,33.0,-23.0,2
13,1,FC Bayern München,13,10,3,0,41.0,10.0,31.0,33
13,2,Eintracht Frankfurt,13,8,3,2,33.0,18.0,15.0,27
13,3,Bayer Leverkusen,13,7,5,1,30.0,20.0,10.0,26
13,4,RB Leipzig,13,7,3,3,21.0,14.0,7.0,24
13,5,VfL Wolfsburg,13,6,3,4,29.0,22.0,7.0,21
13,6,Borussia Dortmund,13,6,3,4,24.0,20.0,4.0,21
13,7,SC Freiburg,13,6,3,4,17.0,17.0,0.0,21
13,8,VfB Stuttgart,13,5,5,3,26.0,23.0,3.0,20
13,9,1. FSV Mainz 05,13,5,4,4,23.0,18.0,5.0,19
13,10,Werder Bremen,13,5,4,4,20.0,24.0,-4.0,19
13,11,Borussia Mönchengladbach,13,5,3,5,19.0,18.0,1.0,18
13,12,1. FC Union Berlin,13,4,4,5,12.0,14.0,-2.0,16
13,13,FC Augsburg,13,4,4,5,16.0,25.0,-9.0,16
13,14,TSG 1899 Hoffenheim,13,3,4,6,18.0,25.0,-7.0,13
13,15,FC St. Pauli,13,3,2,8,11.0,17.0,-6.0,11
13,16,1. FC Heidenheim 1846,13,3,1,9,17.0,28.0,-11.0,10
13,17,Holstein Kiel,13,1,2,10,13.0,33.0,-20.0,5
13,18,VfL Bochum,13,0,2,11,10.0,34.0,-24.0,2
14,1,FC Bayern München,14,10,3,1,42.0,12.0,30.0,33
14,2,Bayer Leverkusen,14,8,5,1,32.0,20.0,12.0,29
14,3,Eintracht Frankfurt,14,8,3,3,34.0,20.0,14.0,27
14,4,RB Leipzig,14,8,3,3,23.0,15.0,8.0,27
14,5,SC Freiburg,14,7,3,4,20.0,19.0,1.0,24
14,6,VfB Stuttgart,14,6,5,3,29.0,24.0,5.0,23
14,7,1. FSV Mainz 05,14,6,4,4,25.0,19.0,6.0,22
14,8,Borussia Dortmund,14,6,4,4,25.0,21.0,4.0,22
14,9,Werder Bremen,14,6,4,4,22.0,24.0,-2.0,22
14,10,VfL Wolfsburg,14,6,3,5,31.0,25.0,6.0,21
